listing_id,price,nbhood_full,description,room_type,host_name,last_review,borough,neighborhood
2595,225,"Manhattan, Midtown",Skylit Midtown Castle,entire home/apt,Jennifer,May 21 2019,Manhattan,Midtown
3831,89,"Brooklyn, Clinton Hill",Cozy Entire Floor of Brownstone,entire home/apt,LisaRoxanne,July 05 2019,Brooklyn,Clinton Hill
5099,200,"Manhattan, Murray Hill",Large Cozy 1 BR Apartment In Midtown East,entire home/apt,Chris,June 22 2019,Manhattan,Murray Hill
5178,79,"Manhattan, Hell's Kitchen",Large Furnished Room Near B'way,private room,Shunichi,June 24 2019,Manhattan,Hell's Kitchen
5238,150,"Manhattan, Chinatown",Cute & Cozy Lower East Side 1 bdrm,entire home/apt,Ben,June 09 2019,Manhattan,Chinatown
5295,135,"Manhattan, Upper West Side",Beautiful 1br on Upper West Side,entire home/apt,Lena,June 22 2019,Manhattan,Upper West Side
5441,85,"Manhattan, Hell's Kitchen",Central Manhattan/near Broadway,private room,Kate,June 23 2019,Manhattan,Hell's Kitchen
5803,89,"Brooklyn, South Slope","Lovely Room 1, Garden, Best Area, Legal rental",private room,Laurie,June 24 2019,Brooklyn,South Slope
6021,85,"Manhattan, Upper West Side",Wonderful Guest Bedroom in Manhattan for SINGLES,private room,Claudio,July 05 2019,Manhattan,Upper West Side
6848,140,"Brooklyn, Williamsburg",Only 2 stops to Manhattan studio,entire home/apt,Allen & Irina,June 29 2019,Brooklyn,Williamsburg
7097,215,"Brooklyn, Fort Greene",Perfect for Your Parents + Garden,entire home/apt,Jane,June 28 2019,Brooklyn,Fort Greene
7322,140,"Manhattan, Chelsea",Chelsea Perfect,private room,Doti,July 01 2019,Manhattan,Chelsea
7726,99,"Brooklyn, Crown Heights",Hip Historic Brownstone Apartment with Backyard,entire home/apt,Adam And Charity,June 22 2019,Brooklyn,Crown Heights
8024,130,"Brooklyn, Park Slope",CBG CtyBGd HelpsHaiti rm#1:1-4,private room,Lisel,July 01 2019,Brooklyn,Park Slope
8025,80,"Brooklyn, Park Slope",CBG Helps Haiti Room#2.5,private room,Lisel,January 01 2019,Brooklyn,Park Slope
8110,110,"Brooklyn, Park Slope",CBG Helps Haiti Rm #2,private room,Lisel,July 02 2019,Brooklyn,Park Slope
8490,120,"Brooklyn, Bedford-Stuyvesant","MAISON DES SIRENES1,bohemian apartment",entire home/apt,Nathalie,June 19 2019,Brooklyn,Bedford-Stuyvesant
8505,60,"Brooklyn, Windsor Terrace",Sunny Bedroom Across Prospect Park,private room,Gregory,June 23 2019,Brooklyn,Windsor Terrace
9518,44,"Manhattan, Inwood","SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room,Shon,June 15 2019,Manhattan,Inwood
9657,180,"Manhattan, East Village",Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,Dana,April 19 2019,Manhattan,East Village
9668,50,"Manhattan, Harlem",front room/double bed,private room,Ssameer Or Trip,June 01 2019,Manhattan,Harlem
9704,52,"Manhattan, Harlem",Spacious 1 bedroom in luxe building,private room,Teri,June 14 2019,Manhattan,Harlem
9782,55,"Brooklyn, Greenpoint",Loft in Williamsburg Area w/ Roof,private room,Andrea,June 15 2019,Brooklyn,Greenpoint
9783,50,"Manhattan, Harlem",back room/bunk beds,private room,Ssameer Or Trip,July 01 2019,Manhattan,Harlem
10452,70,"Brooklyn, Bedford-Stuyvesant",Large B&B Style rooms,private room,Angela,May 12 2019,Brooklyn,Bedford-Stuyvesant
10962,89,"Brooklyn, South Slope","Lovely room 2 & garden; Best area, Legal rental",private room,Laurie,June 21 2019,Brooklyn,South Slope
11708,85,"Brooklyn, Bushwick",Cute apt in artist's home,entire home/apt,Tyrome,June 22 2019,Brooklyn,Bushwick
12048,40,"Manhattan, Lower East Side",LowerEastSide apt share shortterm 1,shared room,Ben,July 05 2019,Manhattan,Lower East Side
12192,68,"Manhattan, East Village",ENJOY Downtown NYC!,private room,Edward,June 21 2019,Manhattan,East Village
12299,120,"Brooklyn, South Slope",Beautiful Sunny Park Slope Brooklyn,entire home/apt,Abdul,May 27 2019,Brooklyn,South Slope
12318,135,"Manhattan, Upper West Side",West Side Retreat,private room,Cyn,June 16 2019,Manhattan,Upper West Side
12343,150,"Manhattan, Harlem",BEST BET IN HARLEM,entire home/apt,Earl,June 13 2019,Manhattan,Harlem
12627,150,"Brooklyn, Prospect-Lefferts Gardens",Entire apartment in central Brooklyn neighborhood.,entire home/apt,Rana,June 05 2019,Brooklyn,Prospect-Lefferts Gardens
12937,130,"Queens, Long Island City","1 Stop fr. Manhattan! Private Suite,Landmark Block",private room,Orestes,July 01 2019,Queens,Long Island City
12940,110,"Brooklyn, Bedford-Stuyvesant",Charming Brownstone 3 - Near PRATT,entire home/apt,Adreinne,May 25 2019,Brooklyn,Bedford-Stuyvesant
13394,80,"Brooklyn, Fort Greene",Fort Greene brownstone,private room,Alexander,June 17 2019,Brooklyn,Fort Greene
13808,80,"Brooklyn, Bedford-Stuyvesant",Blue Room for 2 in Brownstone for $1350 monthly,private room,JT And Tiziana,June 16 2019,Brooklyn,Bedford-Stuyvesant
14287,151,"Manhattan, Upper West Side",Cozy 1BD on Central Park West in New York City,entire home/apt,Joya,July 07 2019,Manhattan,Upper West Side
14290,228,"Brooklyn, Williamsburg",* ORIGINAL BROOKLYN LOFT *,entire home/apt,James,May 17 2019,Brooklyn,Williamsburg
14314,144,"Brooklyn, Greenpoint",Greenpoint Place...Has It All!,entire home/apt,Jeanne,June 29 2019,Brooklyn,Greenpoint
14322,200,"Manhattan, Kips Bay",Beautiful Apartment in Manhattan!!!,entire home/apt,Francesca,March 25 2019,Manhattan,Kips Bay
14377,150,"Brooklyn, Williamsburg",Williamsburg 1 bedroom Apartment,entire home/apt,Joanna,June 22 2019,Brooklyn,Williamsburg
14991,110,"Manhattan, Lower East Side","Great Location, Manhattan Bedroom!",private room,Bianca,May 18 2019,Manhattan,Lower East Side
15220,69,"Manhattan, Hell's Kitchen",Best Location in NYC! TIMES SQUARE!,private room,Luiz,June 09 2019,Manhattan,Hell's Kitchen
15338,49,"Brooklyn, Greenpoint",Room in Greenpoint Loft w/ Roof,private room,Andrea,June 04 2019,Brooklyn,Greenpoint
15341,180,"Manhattan, SoHo",**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt,Ted,June 29 2019,Manhattan,SoHo
15385,80,"Brooklyn, Williamsburg","Very, very cozy place",private room,Cristina,June 30 2019,Brooklyn,Williamsburg
15711,250,"Manhattan, Upper East Side",2 bedroom - Upper East Side-great for kids,entire home/apt,D,March 30 2019,Manhattan,Upper East Side
16326,200,"Brooklyn, Prospect Heights",Comfortable 4-bedroom apt in family house.,entire home/apt,Dimitri,January 26 2019,Brooklyn,Prospect Heights
16421,52,"Manhattan, Hell's Kitchen",Your Heaven in Hells Kitchen,private room,Mark,May 16 2019,Manhattan,Hell's Kitchen
16580,80,"Manhattan, East Village","Sunny, Modern room in East Village!",private room,Reka,July 01 2019,Manhattan,East Village
16595,275,"Brooklyn, Williamsburg",*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt,Daniel,June 23 2019,Brooklyn,Williamsburg
16821,99,"Manhattan, East Village",Large Room in Amazing East Village Apt,private room,Casey,June 21 2019,Manhattan,East Village
16974,225,"Manhattan, East Harlem",SpaHa Loft: Enormous and Bright,entire home/apt,Robin,June 23 2019,Manhattan,East Harlem
17092,51,"Manhattan, Hell's Kitchen",Cool Room in Hell's Kitchen,private room,Enzo,June 01 2019,Manhattan,Hell's Kitchen
17693,65,"Manhattan, Washington Heights","HARLEM, NEW YORK WELCOMES YOU!!",private room,Tye And Etienne,June 18 2019,Manhattan,Washington Heights
17747,105,"Brooklyn, Clinton Hill",BLUE TRIM GUEST HOUSE,private room,George,June 26 2019,Brooklyn,Clinton Hill
18127,190,"Manhattan, East Village",Charming East Village One Bedroom Flat,entire home/apt,Josh,January 02 2019,Manhattan,East Village
18152,200,"Manhattan, Upper East Side",Manhattan Room,private room,Victoria,July 09 2019,Manhattan,Upper East Side
18198,70,"Queens, Woodside",Little King of Queens,private room,Justin,May 31 2019,Queens,Woodside
18590,95,"Brooklyn, Fort Greene",Fort Greene Retreat on the Park,private room,Blaise,June 16 2019,Brooklyn,Fort Greene
18728,150,"Manhattan, Chelsea",Beautiful Meatpacking District Loft,private room,DAVID And RICK,May 28 2019,Manhattan,Chelsea
18764,145,"Brooklyn, Williamsburg",Cozy 2 BR in Williamsburg,private room,Lulú,April 22 2019,Brooklyn,Williamsburg
19159,110,"Manhattan, Harlem",Spacious luminous apt Upper West NYC,entire home/apt,Sybilla,March 23 2019,Manhattan,Harlem
19169,285,"Manhattan, Lower East Side",Entire 2 Bedroom - Large & Sunny,entire home/apt,JoLynn,June 30 2019,Manhattan,Lower East Side
19282,130,"Brooklyn, Flatbush","Sunny, Spacious Top Floor Haven",entire home/apt,Gaia,June 15 2019,Brooklyn,Flatbush
19319,94,"Manhattan, Lower East Side",Private room Great Deal at Lower East Side,private room,Ana,April 08 2019,Manhattan,Lower East Side
20299,60,"Manhattan, East Village",Oh glorious spring!,private room,Edward,June 30 2019,Manhattan,East Village
20611,85,"Brooklyn, Williamsburg",Cozy Bedroom in Williamsburg 3 BR,private room,Lulú,June 22 2019,Brooklyn,Williamsburg
20724,65,"Brooklyn, Bushwick",Sunny room+Pvte office in huge loft,private room,Augustin,May 26 2019,Brooklyn,Bushwick
20734,131,"Brooklyn, Prospect Heights",Spacious Prospect Heights Apartment,entire home/apt,Sean & Lynette,June 27 2019,Brooklyn,Prospect Heights
20755,98,"Brooklyn, Clinton Hill","Large Parlor Room, Landmark Home 1 block to PRATT",private room,Erica,May 31 2019,Brooklyn,Clinton Hill
20853,250,"Brooklyn, Prospect Heights",2-bed brownstone duplex + garden,entire home/apt,Tracy,May 21 2019,Brooklyn,Prospect Heights
21293,105,"Brooklyn, Bushwick",Sunny Apartment in Artist Home,entire home/apt,Tyrome,June 18 2019,Brooklyn,Bushwick
21456,140,"Manhattan, Upper West Side",Light-filled classic Central Park,entire home/apt,Dana,July 07 2019,Manhattan,Upper West Side
21794,98,"Manhattan, Chelsea",COZY QUIET room 4 DOOGLERS!,private room,Olan,May 01 2019,Manhattan,Chelsea
22918,60,"Manhattan, Harlem",loft bed - near transportation-15min to times sq,private room,Ssameer Or Trip,January 03 2019,Manhattan,Harlem
23135,175,"Brooklyn, Carroll Gardens",House On Henry (3rd FLR Suite),entire home/apt,Annette,June 24 2019,Brooklyn,Carroll Gardens
23686,500,"Manhattan, West Village",2000 SF 3br 2bath West Village private  townhouse,entire home/apt,Ann,May 18 2019,Manhattan,West Village
24143,101,"Brooklyn, Williamsburg","Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",private room,Seth,May 29 2019,Brooklyn,Williamsburg
25235,125,"Brooklyn, Bedford-Stuyvesant",Large 2 Bedroom Great for Groups!,entire home/apt,Shelly,June 28 2019,Brooklyn,Bedford-Stuyvesant
25696,100,"Manhattan, Harlem","1,800 sq foot in luxury building",private room,Dena,June 23 2019,Manhattan,Harlem
26362,59,"Manhattan, Hell's Kitchen","Times Square, Safe, Clean and Cozy!",private room,Luiz,June 16 2019,Manhattan,Hell's Kitchen
26520,125,"Brooklyn, Clinton Hill","Cozy Room #3, Landmark Home 1 Block to PRATT",private room,Erica,June 02 2019,Brooklyn,Clinton Hill
26969,325,"Brooklyn, Williamsburg",2 story family home in Williamsburg,entire home/apt,Alexandra,June 23 2019,Brooklyn,Williamsburg
27006,235,"Manhattan, Upper West Side",Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt,Stacy,April 27 2019,Manhattan,Upper West Side
27385,225,"Manhattan, East Village",Great Large 1 BR apt  in East Village!,entire home/apt,Bruce,June 07 2019,Manhattan,East Village
27531,99,"Brooklyn, South Slope",Eveland Private Bed & Living Room w/ Own Entrance,private room,Evelyn,May 20 2019,Brooklyn,South Slope
27644,170,"Manhattan, Harlem",Sugar Hill Rest Stop,entire home/apt,Emma,July 01 2019,Manhattan,Harlem
27759,170,"Manhattan, Upper West Side",apartment next to Central park,entire home/apt,Sylvie,June 26 2019,Manhattan,Upper West Side
29013,70,"Brooklyn, Bedford-Stuyvesant",B & B Room 1,private room,Angela,May 14 2019,Brooklyn,Bedford-Stuyvesant
29455,120,"Manhattan, Harlem",ACCOMMODATIONS GALORE #1,entire home/apt,Laurine,June 20 2019,Manhattan,Harlem
29628,89,"Brooklyn, Clinton Hill",Sunny Room in New Condo,private room,Chris,July 03 2019,Brooklyn,Clinton Hill
29683,185,"Manhattan, East Village",Stylish & Sleek Apartment Near SoHo!,entire home/apt,Uli,June 25 2019,Manhattan,East Village
30031,50,"Brooklyn, Greenpoint",NYC artists‚Äô loft with roof deck,private room,Sol,May 20 2019,Brooklyn,Greenpoint
30927,105,"Manhattan, Lower East Side",Unique & Charming small 1br Apt. LES,entire home/apt,Cs,June 14 2019,Manhattan,Lower East Side
31130,130,"Manhattan, Hell's Kitchen",Most Central Location!,private room,Lara,May 26 2019,Manhattan,Hell's Kitchen
31555,115,"Manhattan, West Village",Luminous Beautiful West Village Studio,entire home/apt,Tom,July 01 2019,Manhattan,West Village
31902,77,"Brooklyn, Flatlands",Sanctuary in East Flatbush,private room,Sunder,January 01 2019,Brooklyn,Flatlands
31994,76,"Brooklyn, Clinton Hill",Room with En Suite Bathroom & Deck,private room,Waldemar,June 24 2019,Brooklyn,Clinton Hill
32023,125,"Brooklyn, Bedford-Stuyvesant",FLAT MACDONOUGH,entire home/apt,Khem,June 23 2019,Brooklyn,Bedford-Stuyvesant
32037,135,"Brooklyn, Clinton Hill",Huge Private  Floor at The Waverly,private room,Sahr,July 01 2019,Brooklyn,Clinton Hill
32965,115,"Brooklyn, Bedford-Stuyvesant",FLAT MACDONOUGH GARDEN,entire home/apt,Khem,June 20 2019,Brooklyn,Bedford-Stuyvesant
32969,160,"Brooklyn, Williamsburg",Light filled Williamsburg Apartment,entire home/apt,Katherine,July 02 2019,Brooklyn,Williamsburg
33009,195,"Brooklyn, Williamsburg",Retreat in Williamsburg,entire home/apt,Ming,June 17 2019,Brooklyn,Williamsburg
33014,195,"Manhattan, East Village",NYC Zen,entire home/apt,Paula,June 17 2019,Manhattan,East Village
33223,80,"Brooklyn, Williamsburg",Cozy BR in Wiliamsburg 3 Bedroom,private room,Lulú,June 22 2019,Brooklyn,Williamsburg
34760,44,"Brooklyn, Fort Greene",Sunny Room in Old Historical Brooklyn Townhouse,private room,Obed,June 29 2019,Brooklyn,Fort Greene
35526,156,"Manhattan, West Village",Sun Filled Classic West Village Apt,private room,Karen,June 22 2019,Manhattan,West Village
36133,125,"Brooklyn, Williamsburg",Classic Artist Loft Williamsburg,private room,White,June 13 2019,Brooklyn,Williamsburg
36703,225,"Manhattan, West Village","Sunny, clean 1 bdrm in W. Village",entire home/apt,Karene,March 31 2019,Manhattan,West Village
38638,219,"Manhattan, Upper East Side",Light and Airy Upper East Side 1 BDR apartment,entire home/apt,Sara,June 26 2019,Manhattan,Upper East Side
